country,year,industry,service,gdp
BRA,1995,24.3621666068131,59.9313890393085,6596.33496795058
BRA,1996,24.4325024295927,60.8612167696033,6640.72624266152
BRA,1997,24.4703645682711,60.9757094679219,6764.85764267331
BRA,1998,24.3993285492299,61.7071191377432,6687.49446621217
BRA,1999,23.6144610208287,62.0088648786369,6621.63600079445
BRA,2000,23.4987657285958,62.2933971329527,6817.78345634413
BRA,2001,23.2229430205378,62.6389155265882,6823.0331851176
BRA,2002,23.6962749162024,62.0837159787211,6944.62257593723
BRA,2003,23.1161995816567,62.5068430332681,6941.43965883253
BRA,2004,23.2195353331464,61.9524397646298,7258.78101654079
BRA,2005,23.5943608547398,62.0771418496592,7409.56827992249
BRA,2006,23.548846005631,63.0885307990768,7622.03919432148
BRA,2007,24.1212243014945,63.4103270792605,8003.2532101272
BRA,2008,24.8662804129767,63.4621127884553,8330.76364001877
BRA,2009,24.3010274140295,64.4202600185269,8246.09612122851
BRA,2010,24.182834770095,65.3018033710638,8792.63334959864
BRA,2011,23.9090812385977,66.1773107789778,9067.99212019529
BRA,2012,23.8203108792852,66.3315395090719,9167.49818450433
BRA,2013,23.6555352577017,66.3183950467743,9366.73824670239
BRA,2014,23.5736439351302,67.1198625659528,9338.34170840985
BRA,2015,22.8198148101811,67.8477936325247,8936.1955889444
BRA,2016,21.3696192250729,68.8324502760797,8577.84277969667
BRA,2017,20.9444754522106,69.8641049402985,8628.25209645723
BRA,2018,20.5300447836496,70.4130119931623,8722.33529970988
BRA,2019,20.402627457781,70.7201052429598,8771.43950372603
BRA,2020,20.2564807940549,70.4294550707763,8435.01046209185
BRA,2021,20.7334776442454,69.7709244507317,8799.22844579944
BRA,2022,20.4917034979733,70.7768561313763,9032.08377657776
BRA,2023,20.171570324784,71.6256113357859,9288.02594608687
BRA,2024,20.3022250193292,71.9821226349216,9566.74408628371
CAN,1995,22.927992562654,73.9185180095968,32595.4515150443
CAN,1996,22.7503943201931,74.1373109934678,32801.3018574024
CAN,1997,23.0570588905459,73.9356397738828,33867.0079071879
CAN,1998,23.1172542309045,73.8917462666981,34894.6134264056
CAN,1999,23.1216090467904,74.0724126142649,36391.535343959
CAN,2000,23.2941780559815,74.1903040533109,37906.8601321366
CAN,2001,23.0628352496906,74.7770242309677,38200.456120621
CAN,2002,23.2298683166351,74.6532597411084,38921.6673033743
CAN,2003,22.9734191107028,74.9195201557099,39270.0234577749
CAN,2004,23.0487865510231,74.9280471196124,40108.7587456658
CAN,2005,22.6904987995816,75.1874406360474,41006.2229523971
CAN,2006,22.2063205408798,75.7118962243516,41663.5123057295
CAN,2007,21.7531867426318,76.2892891075175,42106.8724378248
CAN,2008,21.532959426867,76.5524339598407,42067.5687072607
CAN,2009,20.4295250365098,77.6690348422886,40376.4153847836
CAN,2010,20.2599732831293,77.9615959998479,41164.3399119626
CAN,2011,20.4792234699596,77.7526091165046,42043.6419795513
CAN,2012,20.6756552451397,77.5997476199315,42320.6431330726
CAN,2013,20.3996297237902,77.7977383182095,42851.170527104
CAN,2014,20.235644522482,78.0368050611121,43643.2356440047
CAN,2015,20.0427497375313,78.3133144603838,43594.1941045394
CAN,2016,19.512114275149,78.5399933210567,43551.3425975115
CAN,2017,19.7527741407839,78.7310240516079,44339.3886689254
CAN,2018,19.7053476787122,78.7757868020961,44907.3436912123
CAN,2019,19.3032285244059,79.1588096981356,45100.2915069262
CAN,2020,19.4918333275611,78.9575271510748,42366.1285377884
CAN,2021,19.3361552874421,79.298968483162,44639.193269037
CAN,2022,19.3705526005618,79.3228912549238,45677.686578804
CAN,2023,19.2138940692638,79.5145677542417,45048.2842408265
CAN,2024,18.9328243442541,79.9376491637297,44413.3983847404
CHN,1995,23.00007619978,24.7998237633446,1545.19429404212
CHN,1996,23.4996377291564,25.9999961651242,1681.62743528935
CHN,1997,23.6998548750409,26.3996895897554,1819.09789302268
CHN,1998,23.5004273116616,26.6998899630481,1944.43719705771
CHN,1999,23.000533231137,26.9000176611232,2076.81812919622
